File Path	chrom://990-75db15j/XVault/Ultimate_3000/1384/EC23_044 - 30.11.23.seq/831.smp/UV_VIS_1.channel/UV_VIS_1.chm
Channel	UV_VIS_1

Injection Information:
Data Vault	XVault
Injection	PLA_25
Injection Number	54
Position	RE4
Comment	
Processing Method	Basic Quantitative
Instrument Method	Jens Method 35
Type	Unknown
Status	Finished
Injection Date	02.12.2023
Injection Time	03:05:15
Injection Volume (µl)	1.000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.004000
Time Max. (min)	35.004000
Data Points	8401
Detector	UV
Generating Data System	Chromeleon 7.2.5.9507
Exporting Data System	Chromeleon 7.2.5.0
Operator	Instrument Controller
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-113.267702
Signal Max.	15.523708
Channel	UV_VIS_1
Driver Name	VWD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.25
Max. Step (s)	0.25
Average Step (s)	0.25

Signal Parameter Information:
Signal Info	WVL:280 nm

Chromatogram Data:
Time (min)	Step (s)	Value (mAU)
2.812333	0.25	-112.067254
2.816500	0.25	-112.058145
2.820667	0.25	-112.021523
2.824833	0.25	-111.976101
2.829000	0.25	-111.912538
2.833167	0.25	-111.820243
2.837333	0.25	-111.706726
2.841500	0.25	-111.558003
2.845667	0.25	-111.367420
2.849833	0.25	-111.132593
2.854000	0.25	-110.862079
2.858167	0.25	-110.557605
2.862333	0.25	-110.203561
2.866500	0.25	-109.818555
2.870667	0.25	-109.381245
2.874833	0.25	-108.922158
2.879000	0.25	-108.437077
2.883167	0.25	-107.928807
2.887333	0.25	-107.421193
2.891500	0.25	-106.900957
2.895667	0.25	-106.415440
2.899833	0.25	-105.953683
2.904000	0.25	-105.525683
2.908167	0.25	-105.142321
2.912333	0.25	-104.839581
2.916500	0.25	-104.584629
2.920667	0.25	-104.414145
2.924833	0.25	-104.318155
2.929000	0.25	-104.302098
2.933167	0.25	-104.361898
2.937333	0.25	-104.500117
2.941500	0.25	-104.704505
2.945667	0.25	-104.968383
2.949833	0.25	-105.291195
2.954000	0.25	-105.644498
2.958167	0.25	-106.030016
2.962333	0.25	-106.439320
2.966500	0.25	-106.858271
2.970667	0.25	-107.275424
2.974833	0.25	-107.683033
2.979000	0.25	-108.086528
2.983167	0.25	-108.456656
2.987333	0.25	-108.811861
