File Path	chrom://990-75db15j/XVault/Ultimate_3000/1384/EC23_044 - 30.11.23.seq/465.smp/UV_VIS_1.channel/UV_VIS_1.chm
Channel	UV_VIS_1

Injection Information:
Data Vault	XVault
Injection	PLA_74
Injection Number	73
Position	RF12
Comment	
Processing Method	Basic Quantitative
Instrument Method	Jens Method 35
Type	Unknown
Status	Finished
Injection Date	02.12.2023
Injection Time	14:29:49
Injection Volume (µl)	1.000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.004000
Time Max. (min)	35.004000
Data Points	8401
Detector	UV
Generating Data System	Chromeleon 7.2.5.9507
Exporting Data System	Chromeleon 7.2.5.0
Operator	Instrument Controller
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-111.987030
Signal Max.	-11.722266
Channel	UV_VIS_1
Driver Name	VWD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.25
Max. Step (s)	0.25
Average Step (s)	0.25

Signal Parameter Information:
Signal Info	WVL:280 nm

Chromatogram Data:
Time (min)	Step (s)	Value (mAU)
2.754000	0.25	-110.134154
2.758167	0.25	-110.236698
2.762333	0.25	-110.323582
2.766500	0.25	-110.415984
2.770667	0.25	-110.493490
2.774833	0.25	-110.544586
2.779000	0.25	-110.593301
2.783167	0.25	-110.627599
2.787333	0.25	-110.656243
2.791500	0.25	-110.675914
2.795667	0.25	-110.680749
2.799833	0.25	-110.661532
2.804000	0.25	-110.635330
2.808167	0.25	-110.575834
2.812333	0.25	-110.490965
2.816500	0.25	-110.377754
2.820667	0.25	-110.220951
2.824833	0.25	-110.016616
2.829000	0.25	-109.772877
2.833167	0.25	-109.477474
2.837333	0.25	-109.123484
2.841500	0.25	-108.709348
2.845667	0.25	-108.238575
2.849833	0.25	-107.712657
2.854000	0.25	-107.139090
2.858167	0.25	-106.520781
2.862333	0.25	-105.875832
2.866500	0.25	-105.207866
2.870667	0.25	-104.531961
2.874833	0.25	-103.857217
2.879000	0.25	-103.201080
2.883167	0.25	-102.573014
2.887333	0.25	-101.988682
2.891500	0.25	-101.472566
2.895667	0.25	-101.013043
2.899833	0.25	-100.641594
2.904000	0.25	-100.360029
2.908167	0.25	-100.169646
2.912333	0.25	-100.077114
2.916500	0.25	-100.094574
2.920667	0.25	-100.203539
2.924833	0.25	-100.403997
2.929000	0.25	-100.698824
2.933167	0.25	-101.057794
2.937333	0.25	-101.495123
2.941500	0.25	-101.975433
2.945667	0.25	-102.494279
2.949833	0.25	-103.045104
2.954000	0.25	-103.605994
2.958167	0.25	-104.168790
2.962333	0.25	-104.729815
2.966500	0.25	-105.270465
2.970667	0.25	-105.777916
2.974833	0.25	-106.269964
2.979000	0.25	-106.723516
2.983167	0.25	-107.145231
