File Path	chrom://990-75db15j/XVault/Ultimate_3000/1384/EC23_044 - 30.11.23.seq/845.smp/UV_VIS_1.channel/UV_VIS_1.chm
Channel	UV_VIS_1

Injection Information:
Data Vault	XVault
Injection	PLA_45
Injection Number	39
Position	RD1
Comment	
Processing Method	Basic Quantitative
Instrument Method	Jens Method 35
Type	Unknown
Status	Finished
Injection Date	01.12.2023
Injection Time	18:04:49
Injection Volume (µl)	1.000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.004000
Time Max. (min)	35.004000
Data Points	8401
Detector	UV
Generating Data System	Chromeleon 7.2.5.9507
Exporting Data System	Chromeleon 7.2.5.0
Operator	Instrument Controller
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-115.475875
Signal Max.	-6.279632
Channel	UV_VIS_1
Driver Name	VWD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.25
Max. Step (s)	0.25
Average Step (s)	0.25

Signal Parameter Information:
Signal Info	WVL:280 nm

Chromatogram Data:
Time (min)	Step (s)	Value (mAU)
2.149833	0.25	-114.347897
2.154000	0.25	-114.346286
2.158167	0.25	-114.341356
2.162333	0.25	-114.340915
2.166500	0.25	-114.339399
2.170667	0.25	-114.344006
2.174833	0.25	-114.338510
2.179000	0.25	-114.340108
2.183167	0.25	-114.341174
2.187333	0.25	-114.340785
2.191500	0.25	-114.352924
2.195667	0.25	-114.349411
2.199833	0.25	-114.365759
2.204000	0.25	-114.372279
2.208167	0.25	-114.378717
2.212333	0.25	-114.375626
2.216500	0.25	-114.374697
2.220667	0.25	-114.387483
2.224833	0.25	-114.388732
2.229000	0.25	-114.391215
2.233167	0.25	-114.406183
2.237333	0.25	-114.405287
2.241500	0.25	-114.404487
2.245667	0.25	-114.406855
2.249833	0.25	-114.419795
2.254000	0.25	-114.408387
2.258167	0.25	-114.411051
2.262333	0.25	-114.411065
2.266500	0.25	-114.409258
2.270667	0.25	-114.415489
2.274833	0.25	-114.415694
2.279000	0.25	-114.416482
2.283167	0.25	-114.409024
2.287333	0.25	-114.414719
2.291500	0.25	-114.415061
2.295667	0.25	-114.411583
2.299833	0.25	-114.416784
2.304000	0.25	-114.417607
2.308167	0.25	-114.409403
2.312333	0.25	-114.409564
2.316500	0.25	-114.407106
