File Path	chrom://990-75db15j/XVault/Ultimate_3000/1384/EC23_044 - 30.11.23.seq/976.smp/UV_VIS_1.channel/UV_VIS_1.chm
Channel	UV_VIS_1

Injection Information:
Data Vault	XVault
Injection	PLA_60
Injection Number	59
Position	RE10
Comment	
Processing Method	Basic Quantitative
Instrument Method	Jens Method 35
Type	Unknown
Status	Finished
Injection Date	02.12.2023
Injection Time	06:05:17
Injection Volume (µl)	1.000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.004000
Time Max. (min)	35.004000
Data Points	8401
Detector	UV
Generating Data System	Chromeleon 7.2.5.9507
Exporting Data System	Chromeleon 7.2.5.0
Operator	Instrument Controller
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-112.861663
Signal Max.	16.489558
Channel	UV_VIS_1
Driver Name	VWD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.25
Max. Step (s)	0.25
Average Step (s)	0.25

Signal Parameter Information:
Signal Info	WVL:280 nm

Chromatogram Data:
Time (min)	Step (s)	Value (mAU)
1.758167	0.25	-73.210590
1.762333	0.25	-78.436332
1.766500	0.25	-83.047634
1.770667	0.25	-87.073298
1.774833	0.25	-90.575516
1.779000	0.25	-93.593224
1.783167	0.25	-96.197950
1.787333	0.25	-98.434027
1.791500	0.25	-100.344750
1.795667	0.25	-101.972746
1.799833	0.25	-103.369653
1.804000	0.25	-104.551213
1.808167	0.25	-105.558238
1.812333	0.25	-106.420201
1.816500	0.25	-107.136591
1.820667	0.25	-107.739345
1.824833	0.25	-108.262859
1.829000	0.25	-108.698896
1.833167	0.25	-109.063981
1.837333	0.25	-109.367508
1.841500	0.25	-109.622341
1.845667	0.25	-109.845668
1.849833	0.25	-110.021224
1.854000	0.25	-110.189540
1.858167	0.25	-110.332714
1.862333	0.25	-110.462357
1.866500	0.25	-110.569438
1.870667	0.25	-110.676737
1.874833	0.25	-110.760585
1.879000	0.25	-110.843875
1.883167	0.25	-110.915154
1.887333	0.25	-110.989487
1.891500	0.25	-111.063552
1.895667	0.25	-111.130319
1.899833	0.25	-111.198586
1.904000	0.25	-111.255969
1.908167	0.25	-111.300837
1.912333	0.25	-111.355506
1.916500	0.25	-111.395803
1.920667	0.25	-111.446757
1.924833	0.25	-111.483708
1.929000	0.25	-111.527014
1.933167	0.25	-111.576549
1.937333	0.25	-111.601888
1.941500	0.25	-111.634570
1.945667	0.25	-111.659141
1.949833	0.25	-111.701558
1.954000	0.25	-111.718832
1.958167	0.25	-111.738217
1.962333	0.25	-111.765009
1.966500	0.25	-111.779197
1.970667	0.25	-111.797514
1.974833	0.25	-111.812117
1.979000	0.25	-111.820722
1.983167	0.25	-111.830334
1.987333	0.25	-111.845516
1.991500	0.25	-111.853236
1.995667	0.25	-111.854796
1.999833	0.25	-111.861877
2.004000	0.25	-111.882122
2.008167	0.25	-111.877940
2.012333	0.25	-111.884079
2.016500	0.25	-111.891892
2.020667	0.25	-111.900172
2.024833	0.25	-111.908470
2.029000	0.25	-111.917212
2.033167	0.25	-111.919622
2.037333	0.25	-111.925130
2.041500	0.25	-111.924517
2.045667	0.25	-111.941431
2.049833	0.25	-111.942086
2.054000	0.25	-111.949804
2.058167	0.25	-111.955374
2.062333	0.25	-111.954241
2.066500	0.25	-111.966586
2.070667	0.25	-111.975399
2.074833	0.25	-111.976424
2.079000	0.25	-111.984194
2.083167	0.25	-111.986386
2.087333	0.25	-111.971499
2.091500	0.25	-111.975545
2.095667	0.25	-111.973149
2.099833	0.25	-111.980261
2.104000	0.25	-111.973367
2.108167	0.25	-111.971825
2.112333	0.25	-111.956714
2.116500	0.25	-111.958030
2.120667	0.25	-111.959103
2.124833	0.25	-111.952287
2.129000	0.25	-111.946500
2.133167	0.25	-111.934441
2.137333	0.25	-111.924498
2.141500	0.25	-111.920463
2.145667	0.25	-111.923470
2.149833	0.25	-111.917785
2.154000	0.25	-111.916175
2.158167	0.25	-111.914044
2.162333	0.25	-111.915652
2.166500	0.25	-111.913027
2.170667	0.25	-111.908740
2.174833	0.25	-111.906991
2.179000	0.25	-111.912057
2.183167	0.25	-111.913554
2.187333	0.25	-111.924299
2.191500	0.25	-111.932073
2.195667	0.25	-111.935762
2.199833	0.25	-111.939723
2.204000	0.25	-111.944908
2.208167	0.25	-111.950609
2.212333	0.25	-111.952663
2.216500	0.25	-111.962925
2.220667	0.25	-111.961940
2.224833	0.25	-111.959241
2.229000	0.25	-111.969222
2.233167	0.25	-111.973892
2.237333	0.25	-111.969410
2.241500	0.25	-111.978451
2.245667	0.25	-111.984293
2.249833	0.25	-111.983925
2.254000	0.25	-111.981696
2.258167	0.25	-111.983710
2.262333	0.25	-111.987524
2.266500	0.25	-111.982354
2.270667	0.25	-111.990811
2.274833	0.25	-111.989423
2.279000	0.25	-111.989087
2.283167	0.25	-111.981490
2.287333	0.25	-111.981950
2.291500	0.25	-111.982488
2.295667	0.25	-111.980112
2.299833	0.25	-111.973102
2.304000	0.25	-111.966942
2.308167	0.25	-111.983657
2.312333	0.25	-111.978757
2.316500	0.25	-111.971668
2.320667	0.25	-111.973190
2.324833	0.25	-111.962384
2.329000	0.25	-111.963587
2.333167	0.25	-111.964407
2.337333	0.25	-111.970549
2.341500	0.25	-111.959044
2.345667	0.25	-111.960282
2.349833	0.25	-111.950391
2.354000	0.25	-111.957649
2.358167	0.25	-111.960335
2.362333	0.25	-111.953834
2.366500	0.25	-111.957033
2.370667	0.25	-111.950498
2.374833	0.25	-111.954549
2.379000	0.25	-111.956587
2.383167	0.25	-111.947346
2.387333	0.25	-111.938242
2.391500	0.25	-111.929630
2.395667	0.25	-111.923746
2.399833	0.25	-111.901775
2.404000	0.25	-111.880033
2.408167	0.25	-111.853514
2.412333	0.25	-111.828617
2.416500	0.25	-111.796353
2.420667	0.25	-111.735154
2.424833	0.25	-111.688794
2.429000	0.25	-111.632508
